"","tweetText","tweetCreated","tweetLength","negSentiment","neuSentiment","posSentiment","comSentiment","Company","label"
"16","@WellsFargo You guys are funny... better switch to banking on #Bitcoin soon ??",2019-04-12 15:30:04,78,0,0.663,0.337,0.7269,"Wells Fargo","Positive"
"17","Earnings season kicks off. Record revenues and profits from @jpmorgan @Chase fuels a surge in US Stock futures. @WellsFargo also beats on both earnings and revenues. https://t.co/huZiu3KaJf",2019-04-12 15:30:01,189,0,0.896,0.104,0.4404,"Wells Fargo","Positive"
"18","Earnings season kicks off. Record revenues and profits from @jpmorgan @Chase fuels a surge in US Stock futures. @WellsFargo also beats on both earnings and revenues. https://t.co/KdXX74u5cQ",2019-04-12 15:30:00,189,0,0.896,0.104,0.4404,"Wells Fargo","Positive"
"19","@davidhogg111 YES. 

We DISLIKE both @Chase + @WellsFargo for their decades old dehumanization.",2019-04-12 15:27:38,95,0.199,0.596,0.205,0.0258,"Wells Fargo","Positive"
"20","RT @MLS: ?? San Pedro Sula, Honduras ????

@alberthelis17 is known for scoring goals on the field, but <U+0093>La Pantera<U+0094> makes his mark off the fie<U+0085>",2019-04-12 15:27:01,140,0,1,0,0,"Wells Fargo","Neutral"
"21","11:17, Dave Thomas, Christopher Harden, @WellsFargo, another Bang Star Blast at Addie's to help me make it though... Hope to discuss more Sustainable Rare Earth Element Production, Gallium Arsenide, @QorvoInc, and @Energy Solutions w/ a #Veteran Centric Approach today, Dave... https://t.co/Jr9iWkzIr4",2019-04-12 15:26:24,301,0,0.835,0.165,0.743,"Wells Fargo","Positive"
"22","@WellsFargo has to be the only institution that can ""earn $1.20 per share in the first quarter on revenue of $21.6 billion, beating expectations"" but still see the stock price fall and continue to underperform. What's up with this company? Management?",2019-04-12 15:25:07,251,0.055,0.908,0.037,-0.1926,"Wells Fargo","Negative"
"23","RT @musser_benson: @Darla_Marlene @laserhaas01 https://t.co/xRRSkEmrB0 No one should be jailed in Civil! But, you are in this situation bec<U+0085>",2019-04-12 15:23:03,140,0.19,0.81,0,-0.4574,"Wells Fargo","Negative"
"24","@davidhogg111 Thanks I'm opening a savings account at @Chase and @WellsFargo, I'll put $10 into each account weekly, and donate it at the end of the year to the @NRA.

Happy Bday little puppet",2019-04-12 15:20:02,192,0,0.824,0.176,0.765,"Wells Fargo","Positive"
"25","Congrats to @PhilaFound and all the @philanthropyPHL members who were honored at @PHLBizJournal's 2019 Faces of #Philanthropy Awards: @WellsFargo @Healthcare_ABC @BankofAmerica @PhillySJUnited @TDBank_US https://t.co/5JnYb2POYM https://t.co/Tp72DjfbKo",2019-04-12 15:19:58,251,0,0.683,0.317,0.8807,"Wells Fargo","Positive"
"26","RT @MLS: ?? San Pedro Sula, Honduras ????

@alberthelis17 is known for scoring goals on the field, but <U+0093>La Pantera<U+0094> makes his mark off the fie<U+0085>",2019-04-12 15:15:40,140,0,1,0,0,"Wells Fargo","Negative"
"27","#FollowFriday Please follow our Tenants &amp; Favorite places. @Shred415 @COTCEventCenter @cava @ChuysRestaurant @Choolaahyum @pokesushibowl @InSightEyeOptiq @GreatClips @HarrisTeeter @WellsFargo @BurtonsGrill @Pivot_PT @FireworksPizza @ZoupEatery @Coladashop @MeowsCorner https://t.co/MxVN3Sdnq9",2019-04-12 15:15:00,296,0,0.813,0.187,0.6486,"Wells Fargo","Positive"
"28","RT @MLS: ?? San Pedro Sula, Honduras ????

@alberthelis17 is known for scoring goals on the field, but <U+0093>La Pantera<U+0094> makes his mark off the fie<U+0085>",2019-04-12 15:14:24,140,0,1,0,0,"Wells Fargo","Neutral"
"29","@bevandton @SokoAfricanus @OfLaverna @SenWarren @WellsFargo I'm afraid you don't actually understand hypocrisy.  She would be a hypocrite if she refused to pay taxes on that money. https://t.co/hT17I0uM6P",2019-04-12 15:13:32,204,0.13,0.87,0,-0.3818,"Wells Fargo","Negative"
"30","@ComfortablySmug But it<U+0092>s David<U+0092>s birthday?  All he wants is a blip.  

On another note, thanks @WellsFargo for keeping me and my money safe from the socialists.",2019-04-12 15:08:28,161,0,0.749,0.251,0.8271,"Wells Fargo","Positive"
"31","@PayPal its unconscionable that you would send ALL your merchant customers debit cards w/o their consent or approval. This is the same crap that @WellsFargo pulled &amp; got them fined hundreds of millions by the gov't and lost customer trust. Took me 30 mins to cancel mine by phone.",2019-04-12 15:06:38,284,0.119,0.739,0.143,0.34,"Wells Fargo","Positive"
"32","#STEAM hot! The new robotics lab at @SilverBluffElem, made possible by a generous contribution and collaboration between the Vicencio family and @WellsFargo, features @VEXRobotics equipment, a computer lab cart, and... https://t.co/Xqdt1KO9q3",2019-04-12 15:06:16,242,0,0.886,0.114,0.5562,"Wells Fargo","Neutral"
"33","Stop telling adidas to cancel my god damn order you fucking Jews I already told you fucking fucks I recognized the fucking purchases my tax refund came in let me spoil myself @WellsFargo",2019-04-12 15:04:07,186,0.268,0.677,0.055,-0.8016,"Wells Fargo","Positive"
"34","@jornreinsel @SokoAfricanus @OfLaverna @SenWarren @WellsFargo I think it was pretty good too!!

Warren is not ONLY a LIAR but also a HYPOCRITE!

Here is another good one for ya! She who talks about the 1% but fails to say she is the 1%.....like I said......HYPOCRITE!! https://t.co/udJSFKihrY",2019-04-12 15:03:44,292,0.071,0.713,0.216,0.7572,"Wells Fargo","Positive"
"35","?? @WellsFargo &amp; @Equifax 

Don't let my follow count fool you, get my money. https://t.co/PRk9YjgvSP",2019-04-12 15:02:25,104,0.162,0.838,0,-0.4404,"Wells Fargo","Positive"
"36","@portalispro I would like to post a formal complaint on @WellsFargo the legal order department George Ludd, @georgehludd that has taken 27k funds wrongly out of my personal account without even picking up the phone and calling to discuss. I have waited patiently for the process.#wellsfargo",2019-04-12 15:01:43,290,0.048,0.866,0.087,0.2023,"Wells Fargo","Positive"
"37","@JPRennquist @WellsFargo I would like to post a formal complaint on @WellsFargo the legal order department George Ludd, @georgehludd that has taken 27k funds wrongly out of my personal account without even picking up the phone and calling to discuss. I have waited patiently for the process.#wellsfargo",2019-04-12 15:00:36,302,0.047,0.869,0.085,0.2023,"Wells Fargo","Positive"
"38","Hiya, @WellsFargo . I appreciate your support for manufacturers, particularly gun manufacturers whose products keep us safe from criminal. 

Please lend and support manufacturers without regard to SJ politics.

Your loyal customer. cc. @NRA @DLoesch",2019-04-12 14:57:03,249,0.128,0.526,0.345,0.8522,"Wells Fargo","Negative"
"39","A surprise performance by @jpmorgan and @WellsFargo boosted the mood of investors who were also happy to have emerged largely unscathed from a week full of potential pitfalls, especially on #Brexit
https://t.co/PHjGC6IQCi",2019-04-12 14:56:24,221,0,0.765,0.235,0.8074,"Wells Fargo","Positive"
"40","RT @WellsFargoWorks Want access to in-depth guides on topics like #cashflow? Subscribe to the @WellsFargo #smallbiz newsletter now: https://t.co/Uh9vDi9W7D",2019-04-12 14:53:01,155,0,0.817,0.183,0.4215,"Wells Fargo","Positive"
"41","Seriously, @WellsFargo! As if your reputation isn<U+0092>t bad enough. Stop bankrolling gun violence. https://t.co/qlvtBzjWar",2019-04-12 14:50:05,118,0.612,0.388,0,-0.9215,"Wells Fargo","Negative"
"42","@CNBCnow Serves them Right for treating their customer like garbage, Short $WFC to oblivion. @WellsFargo  Never went back to the branch where I was treated unfairly.",2019-04-12 14:49:59,165,0,0.906,0.094,0.3612,"Wells Fargo","Positive"
"43","@davidhogg111 Omg now I want to leave @WellsFargo",2019-04-12 14:49:47,49,0.16,0.667,0.173,0.0258,"Wells Fargo","Positive"
"44","@davidhogg111 @WellsFargo @Chase why do you give money to gun manufacturers? Can<U+0092>t find a better investment? Hmmm",2019-04-12 14:48:51,113,0.122,0.712,0.166,0.2168,"Wells Fargo","Positive"
"45","RT @MLS: ?? San Pedro Sula, Honduras ????

@alberthelis17 is known for scoring goals on the field, but <U+0093>La Pantera<U+0094> makes his mark off the fie<U+0085>",2019-04-12 14:47:11,140,0,1,0,0,"Wells Fargo","Neutral"
"46","@WellsFargo @turbotax How is Wells Fargo still open for fraud , waste and abuse ? 
Don't bank with Wells Fargo , they opened accounts in my name. I have NEVER had a back account or any interaction with Wells Fargo.",2019-04-12 14:46:00,214,0.236,0.633,0.131,-0.7783,"Wells Fargo","Neutral"
"47","@davidhogg111 In the process of getting my mom out of @WellsFargo and getting her into a local credit union. Awaiting her #SocialSecurity and #pension direct deposits to reroute, then she's out!",2019-04-12 14:45:46,194,0,0.909,0.091,0.4389,"Wells Fargo","Positive"
"48","@snkr_twitr Wells fargo keeps canceling my transactions by setting fraud protections! Second time this week. You screwed me @wellsfargo ????????",2019-04-12 14:38:53,140,0.277,0.647,0.076,-0.7424,"Wells Fargo","Negative"
"49","@davidhogg111 We left @WellsFargo last year for this very reason. Always a hassle to change banks, but we will not support companies who take ?? from @NRA and the gun industry. #GVP https://t.co/VBaJJnascE",2019-04-12 14:37:34,204,0.162,0.838,0,-0.7173,"Wells Fargo","Negative"
"50","RT @WestEndHouseBGC: Do you know our friends at @MorganStanley, @PutnamInvestments, Salem Five Charitable Foundation, @Shawmut_Builds and @<U+0085>",2019-04-12 14:37:30,140,0,0.721,0.279,0.7003,"Wells Fargo","Positive"
"51","@Chase @WellsFargo you are free enterprise.  Never cower to fascists like this. https://t.co/CAtZ9m6W7K",2019-04-12 14:36:16,103,0,0.575,0.425,0.75,"Wells Fargo","Positive"
"52","RT @warrenslocum: Spoke at today<U+0092>s groundbreaking for 67 #affordablehousing units that will be built in North Fair Oaks <U+0096> thank you to all<U+0085>",2019-04-12 14:35:29,139,0,0.806,0.194,0.5859,"Wells Fargo","Positive"
"53","@Darla_Marlene @laserhaas01 https://t.co/xRRSkEmrB0 No one should be jailed in Civil! But, you are in this situation because of Wells Fargo,indirectly.  @WellsFargo started this with JPM in 2005 and  others jumped in cuz they can! Our judicial system is bought and paid for",2019-04-12 14:34:47,273,0.094,0.852,0.055,-0.1984,"Wells Fargo","Negative"
"54","Spending the morning volunteering @classrmcentral  along with 25 fellow @wellsfargo employees doing various activities #CLT #dogood #volunteeringweek #dayofcaring #WellsFargoVolunteerring",2019-04-12 14:34:47,187,0,1,0,0,"Wells Fargo","Neutral"
"55",".@wellsfargo Reports $5.9 Billion in Quarterly Net Income; Diluted EPS of $1.20 | Business Wire https://t.co/V7N7n4vVtr",2019-04-12 14:34:32,119,0,1,0,0,"Wells Fargo","Neutral"
"56","@davidhogg111 Happy birthday, and I'm DONE with @WellsFargo. I've been with them for decades, I have direct deposit, &amp; auto-pay so it will be hassle 2 dump them, but it will also be a joy 2 kick them to the curb!! Going to a credit union &amp; possibly @allybank, but have 2 research them 1st.",2019-04-12 14:33:56,297,0.031,0.771,0.198,0.8942,"Wells Fargo","Positive"
"57","RT @MLS: ?? San Pedro Sula, Honduras ????

@alberthelis17 is known for scoring goals on the field, but <U+0093>La Pantera<U+0094> makes his mark off the fie<U+0085>",2019-04-12 14:32:26,140,0,1,0,0,"Wells Fargo","Neutral"
"58","@JonelleTaliba @MLS @alberthelis17 @WellsFargo Thank you, my friend!!! ??

I enjoy them too ??",2019-04-12 14:30:16,92,0,0.488,0.512,0.9114,"Wells Fargo","Negative"
"59","A reminder that #Resistance can include banking local. Left @WellsFargo for #DATCU years ago. And, yes, changing all direct deposits/automatic payments, etc. is a pain. But it's also a reminder to be glad that you have a life that offers direct deposit and automatic payments. https://t.co/lb6Nwj0vUp",2019-04-12 14:29:16,300,0.046,0.83,0.124,0.5719,"Wells Fargo","Positive"
"60","RT @politicalmiller: .@WellsFargo just advertised to me again.

A longtime #WellsFargo customer, I took all my money out because they scam,<U+0085>",2019-04-12 14:27:04,140,0,1,0,0,"Wells Fargo","Neutral"
"61","Dear @Chase and @WellsFargo, If you *stop* doing business with gun manufacturers, I, for one, will never do business with you again.

The weapons used to protect your people, infrastructure, and vaults, are not cap guns. My family and I have a right to the same protection. thanks https://t.co/arxzD6WGar",2019-04-12 14:26:16,304,0.096,0.758,0.146,0.4215,"Wells Fargo","Positive"
"62","RT @MLS: ?? San Pedro Sula, Honduras ????

@alberthelis17 is known for scoring goals on the field, but <U+0093>La Pantera<U+0094> makes his mark off the fie<U+0085>",2019-04-12 14:25:23,140,0,1,0,0,"Wells Fargo","Negative"
"63","RT @politicalmiller: .@WellsFargo just advertised to me again.

A longtime #WellsFargo customer, I took all my money out because they scam,<U+0085>",2019-04-12 14:24:28,140,0,1,0,0,"Wells Fargo","Neutral"
"64","I have a @Chase Sapphire card and a mortgage with @WellsFargo. I<U+0092>m now proud of both of those relationships. https://t.co/aOiVAFv0zh",2019-04-12 14:24:12,132,0,0.838,0.162,0.4767,"Wells Fargo","Positive"
"65","RT @HandsOnCLT: Bob Young, @myUWCC director of volunteer strategy &amp; planning, joined a recent episode of the Do Good Charlotte Podcast with<U+0085>",2019-04-12 14:23:21,144,0,0.873,0.127,0.4404,"Wells Fargo","Positive"
"66","@davidhogg111 If I leave @WellsFargo it's because of their damn fees.",2019-04-12 14:23:19,69,0.328,0.672,0,-0.4404,"Wells Fargo","Negative"
"67","@warrenslocum @mvwreckingball @HEARTofSMC @County_DOH @WellsFargo @FHLBankSF Way to go San Mateo County. Warren Thanks for your Leadership in bringing affordable Housing to District # 4. We need more shovels breaking ground thru out the county",2019-04-12 14:22:10,243,0,0.919,0.081,0.4404,"Wells Fargo","Positive"
"68","RT @politicalmiller: .@WellsFargo just advertised to me again.

A longtime #WellsFargo customer, I took all my money out because they scam,<U+0085>",2019-04-12 14:20:30,140,0,1,0,0,"Wells Fargo","Neutral"
"69","RT @ResistLine3: Dozens of Water Protectors in Minneapolis join the National Day of Action to demand that @WellsFargo #DefundClimateChange<U+0085>",2019-04-12 14:17:34,139,0.072,0.821,0.106,0.1779,"Wells Fargo","Positive"
"70","RT @CathyPe78176224: @ourkidz3 @adomantholdings @M1mpossibl @beastsaver @nadiaskin1 @mkaz9800 @musser_benson @mastersdrimist @BeyondTheBant<U+0085>",2019-04-12 14:17:27,140,0,1,0,0,"Wells Fargo","Neutral"
"71",".@WellsFargo just advertised to me again.

A longtime #WellsFargo customer, I took all my money out because they scam, defraud &amp; foreclose on people all the time.

They<U+0092>ve screwed so many customers I had to find a list. Here are 18(!!) cases since 2015. https://t.co/2b2D8mlWwk",2019-04-12 14:16:05,281,0.161,0.839,0,-0.8168,"Wells Fargo","Neutral"
"72","For almost 20 years I have banked with @WellsFargo   Recently I asked my job to stop despositing my paycheck into my WF account because of their lobbying against education &amp; anti-gun-reform efforts. I encourage you to do the same. Have your money follow your values. #wellsfargo",2019-04-12 14:15:10,282,0.072,0.804,0.124,0.5423,"Wells Fargo","Positive"
"73","RT @MLS: ?? San Pedro Sula, Honduras ????

@alberthelis17 is known for scoring goals on the field, but <U+0093>La Pantera<U+0094> makes his mark off the fie<U+0085>",2019-04-12 14:14:54,140,0,1,0,0,"Wells Fargo","Neutral"
"74","@ourkidz3 @adomantholdings @M1mpossibl @beastsaver @nadiaskin1 @mkaz9800 @musser_benson @mastersdrimist @BeyondTheBantr @Isabel1170 @ShannonKetcher2 @WFB_Fraud @truthsearch1957 @ForeclosureOz @WaywordKnight @Traci36362909 @JDGarfield2 @Jeffmyers0011 @leonitis0812 @Tourbusdriver7 @ConsiderThis1 @magdasedra @laserhaas01 @shurtcircuit @sherigreatfalls @AmyDontLookSick @USOCC @realDonaldTrump @WellsFargo @POTUS @SrsofStFrancis @SBA @USSupremeCourt @courtnewsflash @FlaBarYLD @CBSNews @WSJ @CFPB @StopFraud @TheJusticeDept @YouTube @DenbeauxLaw @FHFA @DoNotLose @MarkCalabria @DeadlyClear @FLOTUS The thought: PEOPLE intentionally organized this plan to harm onto the American People, 

Follow Trend: ALL the big banks are doing it. 

BANKS &amp; INVESTORS have found the LOOP HOLE to get around the law.

The LAW is NOT PROTECTING  we the people.. INSTEAD Assisting the predator.",2019-04-12 14:13:40,879,0.036,0.964,0,-0.5423,"Wells Fargo","Negative"
"75","RT @ThorntonMcEnery: .@WellsFargo needs an CEO with the kind of ego that verges on personality disorder. A person so messianic to themselve<U+0085>",2019-04-12 14:10:32,140,0.119,0.881,0,-0.4019,"Wells Fargo","Negative"
"76","RT @ThorntonMcEnery: .@WellsFargo needs an CEO with the kind of ego that verges on personality disorder. A person so messianic to themselve<U+0085>",2019-04-12 14:03:15,140,0.119,0.881,0,-0.4019,"Wells Fargo","Negative"
"77",".@WellsFargo needs an CEO with the kind of ego that verges on personality disorder. A person so messianic to themselves that they see the world through an utterly different prism.
Holy shit, you guys, $WFC needs Dick Fuld.
https://t.co/y8GOTNvY1m",2019-04-12 14:03:08,246,0.215,0.785,0,-0.8625,"Wells Fargo","Negative"
"78","#Teachachildtosaveday at Marbles kicks off at 11am! Learn how to earn, spend, share &amp; save your $$. Meet bankers from @capitalbankus @BankofAmerica @WellsFargo @askRegions &amp; @FirstNationalBk who will be onsite offering tips &amp; tricks that make percent cents!",2019-04-12 14:02:29,269,0.035,0.824,0.141,0.6688,"Wells Fargo","Positive"
"79","@RealBankReform @RepPressley @AyannaPressley We know @WellsFargo called us MUD people THEN as Servicers STOLE our Homes with @usbank",2019-04-12 14:00:45,132,0,1,0,0,"Wells Fargo","Positive"
"80","RT @JohnHobotWF: Five years ago, ?@WellsFargo? #MN women leaders started a #mentorship program w/ ?@Girlsin_Action? of @MPS_Henry. Yesterda<U+0085>",2019-04-12 14:00:34,140,0,1,0,0,"Wells Fargo","Neutral"
"81","Bob Young, @myUWCC director of volunteer strategy &amp; planning, joined a recent episode of the Do Good Charlotte Podcast with @QueenCityPN to share how to get involved through #HandsOnCharlotteDay ?? presented to the community by @WellsFargo.

Tune in! ? https://t.co/669DBQ2W3K https://t.co/GrJCe9DNcn",2019-04-12 14:00:13,303,0,0.881,0.119,0.6588,"Wells Fargo","Positive"
"82","@TheRynheart @TuckerCarlson #BoycottFoxAdvertisers  FOX is dangerously destructive propaganda.  Lying attacks on democracy.  Start with @BayerUS Proctor&amp;Gamble @Allstate GM  @trivago   @Ancestry @Applebees  @IHOP @Bowflex @Proactiv @subaru_usa  @Nutrisystem @StarKistCharlie @WellsFargo @JennyCraig",2019-04-12 13:59:02,302,0.389,0.611,0,-0.936,"Wells Fargo","Negative"
"83","RT @DocMorton: @musser_benson @WellsFargo Their fraud and corruption continues.",2019-04-12 13:58:26,79,0.322,0.678,0,-0.5859,"Wells Fargo","Positive"
"84","RT @CathyPe78176224: @musser_benson @BeyondTheBantr @laserhaas01 @WellsFargo @realDonaldTrump @MarkCalabria @TGowdySC Fraud trickling in al<U+0085>",2019-04-12 13:58:13,140,0.312,0.688,0,-0.6124,"Wells Fargo","Negative"
"85","RT @__CAFFREY__USA: @omnilimo @musser_benson @WFB_Fraud @WellsFargo @Citibank @Citi Correction: should be @omnilimo",2019-04-12 13:57:48,115,0,1,0,0,"Wells Fargo","Positive"
"86","RT @__CAFFREY__USA: @omnilimo @musser_benson @WFB_Fraud @WellsFargo @Citibank @Citi You all #9th #islanders are scumbag #BoydGroup employee<U+0085>",2019-04-12 13:57:43,140,0.219,0.781,0,-0.6369,"Wells Fargo","Negative"
"87","RT @CathyPe78176224: @oSavvy_One @fierritousa @truthsearch1957 @ShannonKetcher2 @ForeclosedMeNot @Isabel1170 @musser_benson @ourkidz3 @mkaz<U+0085>",2019-04-12 13:57:36,140,0,1,0,0,"Wells Fargo","Neutral"
"88","@CathyPe78176224 @fierritousa @truthsearch1957 @ShannonKetcher2 @ForeclosedMeNot @Isabel1170 @oSavvy_One @ourkidz3 @mkaz9800 @WFB_Fraud @adomantholdings @M1mpossibl @beastsaver @nadiaskin1 @mastersdrimist @BeyondTheBantr @ForeclosureOz @WaywordKnight @Traci36362909 @JDGarfield2 @Jeffmyers0011 @leonitis0812 @Tourbusdriver7 @ConsiderThis1 @magdasedra @laserhaas01 @shurtcircuit @sherigreatfalls @AmyDontLookSick @USOCC @realDonaldTrump @WellsFargo @POTUS @SrsofStFrancis @SBA @USSupremeCourt @courtnewsflash @FlaBarYLD @CBSNews @WSJ @CFPB @StopFraud @TheJusticeDept @YouTube @DenbeauxLaw @FHFA @DoNotLose @MarkCalabria @DeadlyClear @FLOTUS https://t.co/BiuDhGWZqO and why would a Foreign LLC own all plus I have had dealings with this corrupt LLC in other counties when FIRPTA requires 10% more on Every flip in taxes? This LLC entered into a legal purchase contract when they did NOT own the property",2019-04-12 13:56:48,901,0,0.984,0.016,0.128,"Wells Fargo","Positive"
"89","@WellsFargo reported that direct mail channels accounted for 20% of new credit card account production in 1Q19, up 91% y/y,  https://t.co/XAMETllAJ8. Digital channels accounted for 44% of new account production.",2019-04-12 13:56:16,211,0,0.918,0.082,0.3818,"Wells Fargo","Positive"
"90","RT @CathyPe78176224: @fierritousa @truthsearch1957 @ShannonKetcher2 @ForeclosedMeNot @Isabel1170 @musser_benson @oSavvy_One @ourkidz3 @mkaz<U+0085>",2019-04-12 13:53:27,140,0,1,0,0,"Wells Fargo","Neutral"
"91","@oSavvy_One @fierritousa @truthsearch1957 @ShannonKetcher2 @ForeclosedMeNot @Isabel1170 @musser_benson @ourkidz3 @mkaz9800 @WFB_Fraud @adomantholdings @M1mpossibl @beastsaver @nadiaskin1 @mastersdrimist @BeyondTheBantr @ForeclosureOz @WaywordKnight @Traci36362909 @JDGarfield2 @Jeffmyers0011 @leonitis0812 @Tourbusdriver7 @ConsiderThis1 @magdasedra @laserhaas01 @shurtcircuit @sherigreatfalls @AmyDontLookSick @USOCC @realDonaldTrump @WellsFargo @POTUS @SrsofStFrancis @SBA @USSupremeCourt @courtnewsflash @FlaBarYLD @CBSNews @WSJ @CFPB @StopFraud @TheJusticeDept @YouTube @DenbeauxLaw @FHFA @DoNotLose @MarkCalabria @DeadlyClear @FLOTUS The brilliant slim sucker who thought this sick demented scam will go to hell where they belong. May the Lord have no mercy for the many lives they have destroyed. Stripped from our assets, our families, our dignity. Many lives lost over this. Many heart attacks, suicides&amp;divorce https://t.co/TEqZ8EPkqK",2019-04-12 13:53:14,946,0.213,0.7,0.087,-0.9475,"Wells Fargo","Negative"
"92","RT @MLS: ?? San Pedro Sula, Honduras ????

@alberthelis17 is known for scoring goals on the field, but <U+0093>La Pantera<U+0094> makes his mark off the fie<U+0085>",2019-04-12 13:52:37,140,0,1,0,0,"Wells Fargo","Neutral"
"93","@fierritousa @truthsearch1957 @ShannonKetcher2 @ForeclosedMeNot @Isabel1170 @oSavvy_One @ourkidz3 @mkaz9800 @WFB_Fraud @adomantholdings @M1mpossibl @beastsaver @nadiaskin1 @mastersdrimist @CathyPe78176224 @BeyondTheBantr @ForeclosureOz @WaywordKnight @Traci36362909 @JDGarfield2 @Jeffmyers0011 @leonitis0812 @Tourbusdriver7 @ConsiderThis1 @magdasedra @laserhaas01 @shurtcircuit @sherigreatfalls @AmyDontLookSick @USOCC @realDonaldTrump @WellsFargo @POTUS @SrsofStFrancis @SBA @USSupremeCourt @courtnewsflash @FlaBarYLD @CBSNews @WSJ @CFPB @StopFraud @TheJusticeDept @YouTube @DenbeauxLaw @FHFA @DoNotLose @MarkCalabria @DeadlyClear https://t.co/cJRTmY1S0y I agree and always paid cash and lived with in means. $30K balance on a home Equity I could have paid off(actually did) and have an overage -it was stolen because I was a #whistleblower  @Ask_WellsFargo couldn<U+0092>t produce docs and was in contempt! https://t.co/MbriXDWlYe",2019-04-12 13:52:01,925,0.076,0.898,0.026,-0.6996,"Wells Fargo","Negative"
"94","@WellsFargo You want others to see the good you do and think that major issues like sexual harassment should be ignored and terminated me for reporting, I want justice!! @TheAdviseShow  they wont be happy until I off myself wheres my help? #Me2 #Mentoo @Ask_WellsFargo",2019-04-12 13:51:34,268,0.156,0.584,0.26,0.5975,"Wells Fargo","Positive"
"95","RT @musser_benson: Who committed the fraud? @WellsFargo hired a company to commit Medicare and Medicaid fraud at a non profit health care f<U+0085>",2019-04-12 13:50:44,140,0.23,0.455,0.315,0.2023,"Wells Fargo","Positive"
