tweetText,tweetCreated,tweetLength,negSentiment,neuSentiment,posSentiment,comSentiment,Company,label
RT @KartikGuptaa: @elonmusk @TeslaSupport @Tesla Another issue with my car! Front left tire loosing air since the day I have received the v…,2019-04-05T00:27:39Z,140,0,1,0,0,Tesla,Neutral
@Tesla @TeslaSupport so far my customer service experience with @Tesla has been horrible. Two scheduled deliveries cancelled and now I'm being told they can't schedule delivery again for now. I returned my car based on the delivery date and need a vehicle so i can get to work.,2019-04-04T15:03:04Z,277,0.113,0.887,0,-0.6705,Tesla,Negative
@elonmusk @Tesla @TeslaSupport plz add code option to lock ?? glovebox?,2019-04-04T03:00:36Z,70,0,0.885,0.115,0.0772,Tesla,Positive
"@MGagi7 @QqTesla @Tesla @TeslaSupport @bonnienorman @elonmusk Costco takes before and after photos to prevent any false claims. As for Tesla, no photos taken, because they jack up every vehicle that they touch.",2019-04-03T20:28:43Z,210,0.066,0.901,0.033,-0.2732,Tesla,Negative
@MGagi7 @Tesla @TeslaSupport @bonnienorman @elonmusk You certain it’s not just schmutz?  Do you have a pic?,2019-04-03T20:12:19Z,107,0,0.851,0.149,0.3527,Tesla,Neutral
@mtndrew1 @Tesla @TeslaSupport @bonnienorman @elonmusk Yeah it’s super frustrating. I specifically told them to inspect my wheels before starting work and the rep told me he did. Then this happens. We’ll get it sorted it out I’m sure.,2019-04-03T20:04:12Z,234,0.065,0.745,0.19,0.6705,Tesla,Positive
@MGagi7 @Tesla @TeslaSupport @bonnienorman @elonmusk My service center (Torrance CA) takes a walk around video of my car whenever I take it in so they have a record of any existing damage. Might want to ask if your SC does this too to show that it wasn’t damaged before.,2019-04-03T20:00:54Z,270,0.121,0.853,0.026,-0.7003,Tesla,Negative
@MGagi7 @Tesla @TeslaSupport @elonmusk I would have asked that they take the wheels to someone local who can powdercoat &amp; bring back to new condition. Those guys work miracles (I've had some pretty beat up wheels come back looking like they did when I first got them.),2019-04-03T19:43:26Z,272,0,0.883,0.117,0.6908,Tesla,Positive
@bonnienorman @Tesla @TeslaSupport @elonmusk It’s not how I dropped my car off so it should be replaced I believe. The tech said I should almost expect this to happen on the 21s because they’re “hard to work on”. It’s crazy. 100k for a car and $4500 for wheels. https://t.co/aD0ivd3fce,2019-04-03T19:42:18Z,285,0.052,0.948,0,-0.34,Tesla,Neutral
@bonnienorman @Tesla @TeslaSupport @elonmusk It’s bad enough. And more importantly I made sure they inspected my wheels before the work to see that there was no damage because they ruined one of my wheels in the past. confirmed no damage and then I get my car back and it’s damaged. How could they hesitate to replace?,2019-04-03T19:39:25Z,318,0.313,0.615,0.072,-0.9455,Tesla,Negative
RT @MGagi7: Unreal. @Tesla @TeslaSupport I had new tires put on my wheels at SC &amp; they damaged my wheels &amp; are refusing to own up &amp; replace…,2019-04-03T19:37:31Z,152,0.183,0.817,0,-0.6808,Tesla,Negative
@MGagi7 @Tesla @TeslaSupport @elonmusk It's scuffed so bad that it needs replacement?,2019-04-03T19:35:15Z,85,0.29,0.71,0,-0.6696,Tesla,Negative
Unreal. @Tesla @TeslaSupport I had new tires put on my wheels at SC &amp; they damaged my wheels &amp; are refusing to own up &amp; replace my wheel. They notated no damage on wheels prior to work start &amp; then returned my car with a scuffed wheel &amp; said it happens. @bonnienorman @elonmusk,2019-04-03T19:33:49Z,297,0.19,0.81,0,-0.875,Tesla,Neutral
"@Krima75887823 @Tesla @TeslaSupport @elonmusk Same, was told it was included by sales staff to sadly find out it was not when the car was delivered.",2019-04-03T14:56:10Z,148,0.104,0.896,0,-0.4215,Tesla,Negative
RT @TheFatMaster3: @elonmusk uhhhhhhhhhhhhhhhh @Tesla @TeslaSupport uhhhhhhhhh why doesn’t it work https://t.co/LbwPzVyjOy,2019-04-03T09:27:31Z,122,0,1,0,0,Tesla,Positive
RT @TheFatMaster3: @elonmusk uhhhhhhhhhhhhhhhh @Tesla @TeslaSupport uhhhhhhhhh why doesn’t it work https://t.co/LbwPzVyjOy,2019-04-03T08:43:30Z,122,0,1,0,0,Tesla,Neutral
RT @TheFatMaster3: @elonmusk uhhhhhhhhhhhhhhhh @Tesla @TeslaSupport uhhhhhhhhh why doesn’t it work https://t.co/LbwPzVyjOy,2019-04-03T05:46:12Z,122,0,1,0,0,Tesla,Neutral
RT @TheFatMaster3: @elonmusk uhhhhhhhhhhhhhhhh @Tesla @TeslaSupport uhhhhhhhhh why doesn’t it work https://t.co/LbwPzVyjOy,2019-04-03T05:09:24Z,122,0,1,0,0,Tesla,Neutral
Ok buddy @Tesla @TeslaSupport https://t.co/iibhjNR2PR,2019-04-03T04:01:24Z,53,0,0.645,0.355,0.296,Tesla,Positive
@elonmusk uhhhhhhhhhhhhhhhh @Tesla @TeslaSupport uhhhhhhhhh why doesn’t it work https://t.co/LbwPzVyjOy,2019-04-03T03:58:09Z,103,0,1,0,0,Tesla,Negative
@TeslaSupport also it is working correctly from my tunein app on my iPhone X,2019-04-03T02:55:36Z,76,0,1,0,0,Tesla,Neutral
@TeslaSupport having a specific issue trying to connect via tunein to ESPN 710 Seattle and it continues to have a loading error. Rebooted 2 x and all other stations work ?? Is there anything else I can do ? Tesla Model 3 - 2019.8.3,2019-04-03T02:53:30Z,231,0.085,0.915,0,-0.5007,Tesla,Positive
